density, u velocity, pressure, x points
1,0,1,-1
1,0,1,-0.997998
1,0,1,-0.995996
1,0,1,-0.993994
1,0,1,-0.991992
1,0,1,-0.98999
1,0,1,-0.987988
1,0,1,-0.985986
1,0,1,-0.983984
1,0,1,-0.981982
1,0,1,-0.97998
1,0,1,-0.977978
1,0,1,-0.975976
1,0,1,-0.973974
1,0,1,-0.971972
1,0,1,-0.96997
1,0,1,-0.967968
1,0,1,-0.965966
1,0,1,-0.963964
1,0,1,-0.961962
1,0,1,-0.95996
1,0,1,-0.957958
1,0,1,-0.955956
1,0,1,-0.953954
1,0,1,-0.951952
1,0,1,-0.94995
1,0,1,-0.947948
1,0,1,-0.945946
1,0,1,-0.943944
1,6.29437e-17,1,-0.941942
1,2.51775e-16,1,-0.93994
1,3.14719e-16,1,-0.937938
1,3.77662e-16,1,-0.935936
1,3.77662e-16,1,-0.933934
1,2.83247e-16,1,-0.931932
1,3.46191e-16,1,-0.92993
1,3.14719e-16,1,-0.927928
1,2.83247e-16,1,-0.925926
1,3.46191e-16,1,-0.923924
1,3.14719e-16,1,-0.921922
1,2.83247e-16,1,-0.91992
1,3.46191e-16,1,-0.917918
1,3.14719e-16,1,-0.915916
1,2.83247e-16,1,-0.913914
1,3.46191e-16,1,-0.911912
1,3.14719e-16,1,-0.90991
1,2.83247e-16,1,-0.907908
1,3.46191e-16,1,-0.905906
1,3.14719e-16,1,-0.903904
1,2.83247e-16,1,-0.901902
1,3.46191e-16,1,-0.8999
1,3.14719e-16,1,-0.897898
1,2.83247e-16,1,-0.895896
1,3.46191e-16,1,-0.893894
1,3.14719e-16,1,-0.891892
1,2.83247e-16,1,-0.88989
1,3.46191e-16,1,-0.887888
1,3.14719e-16,1,-0.885886
1,2.83247e-16,1,-0.883884
1,3.46191e-16,1,-0.881882
1,3.14719e-16,1,-0.87988
1,2.83247e-16,1,-0.877878
1,3.46191e-16,1,-0.875876
1,3.14719e-16,1,-0.873874
1,2.83247e-16,1,-0.871872
1,3.46191e-16,1,-0.86987
1,3.14719e-16,1,-0.867868
1,2.83247e-16,1,-0.865866
1,3.46191e-16,1,-0.863864
1,3.14719e-16,1,-0.861862
1,3.14719e-16,1,-0.85986
1,5.0355e-16,1,-0.857858
1,5.0355e-16,1,-0.855856
1,7.55325e-16,1,-0.853854
1,1.07004e-15,1,-0.851852
1,1.38476e-15,1,-0.84985
1,2.07714e-15,1,-0.847848
1,3.30455e-15,1,-0.845846
1,5.09844e-15,1,-0.843844
1,7.83649e-15,1,-0.841842
1,1.21481e-14,1,-0.83984
