density, u velocity, pressure, Mach, Temperature, y_points
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.36282
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.40896
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.4551
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.50124
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.54738
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.59352
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.63966
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.6858
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.73195
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.77809
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.82423
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.87037
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.91651
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 1.96265
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.00879
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.05493
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.10107
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.14722
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.19336
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.2395
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.28564
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.33178
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.37792
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.42406
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.4702
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.51634
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 2.56249
