density, u_velocity, v_velocity, pressure, x_points, y_points, z_points
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000792202, -0.100868, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000805875, -0.102615, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000819547, -0.104363, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00083322, -0.106111, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000846892, -0.107858, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000860565, -0.109606, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000874237, -0.111354, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00088791, -0.113102, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000901582, -0.114849, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000915255, -0.116597, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000928927, -0.118345, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.0009426, -0.120092, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000956272, -0.12184, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000969945, -0.123588, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.000983617, -0.125335, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00099729, -0.127083, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00101096, -0.128831, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00102463, -0.130578, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00103831, -0.132326, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00105198, -0.134074, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00106565, -0.135822, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00107932, -0.137569, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.001093, -0.139317, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00110667, -0.141065, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00112034, -0.142812, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00113401, -0.14456, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00114769, -0.146308, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00116136, -0.148055, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00117503, -0.149803, 0.0
