density, u_velocity, v_velocity, pressure, x_points, y_points, z_points
0.0885653, 814.665, -125.211, 15353.9, -0.0318433, -1.0341, 0.0
0.125654, 766.5, -182.247, 19738.6, -0.0340124, -1.10562, 0.0
0.161536, 746.422, -226.562, 24203.2, -0.0362699, -1.18006, 0.0
0.199691, 739.202, -262.477, 28818.2, -0.0386197, -1.25754, 0.0
0.23332, 743.423, -284.63, 32528.5, -0.0410653, -1.33817, 0.0
0.241527, 759.534, -273.64, 31735.2, -0.0436107, -1.42211, 0.0
0.207921, 792.367, -204.123, 24480.3, -0.04626, -1.50946, 0.0
0.153484, 837.497, -88.5643, 15079.9, -0.0490174, -1.60038, 0.0
0.123491, 862.254, -16.6482, 10851.4, -0.0518873, -1.69501, 0.0
0.116835, 867.406, -1.58243, 10076.8, -0.0548744, -1.79351, 0.0
0.116194, 867.929, -0.113721, 10005.5, -0.0579834, -1.89602, 0.0
0.116147, 867.969, -0.0070515, 10000.3, -0.0612192, -2.00272, 0.0
0.116144, 867.972, -0.00038644, 10000, -0.0645872, -2.11377, 0.0
0.116144, 867.972, -1.88838e-05, 10000, -0.0680925, -2.22935, 0.0
0.116144, 867.972, -8.26205e-07, 10000, -0.0717409, -2.34965, 0.0
0.116144, 867.972, -3.2401e-08, 10000, -0.0755383, -2.47486, 0.0
0.116144, 867.972, -1.13788e-09, 10000, -0.0794905, -2.60518, 0.0
0.116144, 867.972, -3.56692e-11, 10000, -0.0836041, -2.74082, 0.0
0.116144, 867.972, -9.52132e-13, 10000, -0.0878856, -2.88199, 0.0
0.116144, 867.972, 3.12249e-14, 10000, -0.0923418, -3.02893, 0.0
0.116144, 867.972, -1.3659e-14, 10000, -0.0969798, -3.18186, 0.0
0.116144, 867.972, -1.4069e-14, 10000, -0.101807, -3.34103, 0.0
0.116144, 867.972, 1.45947e-14, 10000, -0.106831, -3.5067, 0.0
0.116144, 867.972, 3.72228e-15, 10000, -0.112061, -3.67913, 0.0
0.116144, 867.972, -4.96902e-15, 10000, -0.117504, -3.8586, 0.0
0.0979499, 791.061, -168.512, 17634.4, -0.095342, -1.02909, 0.0
0.137757, 741.359, -216.1, 22277.5, -0.101704, -1.09811, 0.0
0.174626, 721.594, -254.917, 26943.4, -0.108326, -1.16996, 0.0
0.213845, 714.583, -287.465, 31752.6, -0.115217, -1.24474, 0.0
0.247846, 719.835, -306.474, 35471.8, -0.12239, -1.32257, 0.0
0.252555, 739.888, -287.293, 33810.9, -0.129856, -1.40357, 0.0
0.20864, 784.072, -198.783, 24442.8, -0.137627, -1.48789, 0.0
0.148173, 839.513, -69.8358, 14110.4, -0.145714, -1.57564, 0.0
0.120509, 864.412, -8.31898, 10469.5, -0.154132, -1.66697, 0.0
0.116388, 867.762, -0.438977, 10025.5, -0.162893, -1.76203, 0.0
0.116155, 867.963, -0.0160452, 10001.1, -0.172012, -1.86097, 0.0
0.116144, 867.971, -0.000381332, 10000, -0.181503, -1.96395, 0.0
0.116144, 867.972, -9.61767e-08, 10000, -0.191381, -2.07113, 0.0
0.116144, 867.972, 5.78644e-07, 10000, -0.201663, -2.18269, 0.0
0.116144, 867.972, 3.79439e-08, 10000, -0.212364, -2.2988, 0.0
0.116144, 867.972, 1.65722e-09, 10000, -0.223502, -2.41964, 0.0
0.116144, 867.972, 5.73924e-11, 10000, -0.235094, -2.54542, 0.0
0.116144, 867.972, 1.62939e-12, 10000, -0.247159, -2.67633, 0.0
0.116144, 867.972, 6.86243e-14, 10000, -0.259717, -2.81259, 0.0
0.116144, 867.972, 5.72663e-14, 10000, -0.272787, -2.9544, 0.0
0.116144, 867.972, 2.52755e-14, 10000, -0.286391, -3.102, 0.0
0.116144, 867.972, 3.65019e-14, 10000, -0.30055, -3.25563, 0.0
0.116144, 867.972, -4.08136e-14, 10000, -0.315286, -3.41552, 0.0
0.116144, 867.972, -1.41467e-15, 10000, -0.330624, -3.58195, 0.0
0.116144, 867.972, -2.14743e-15, 10000, -0.346588, -3.75516, 0.0
0.110093, 761.473, -202.089, 20473.2, -0.158346, -1.02019, 0.0
0.152796, 711.555, -240.888, 25318.1, -0.168605, -1.0865, 0.0
0.190676, 692.841, -275.36, 30167.6, -0.179283, -1.15552, 0.0
0.230953, 686.472, -305.46, 35152.8, -0.190396, -1.22736, 0.0
0.264665, 693.358, -322.325, 38750.5, -0.201963, -1.30212, 0.0
0.263955, 718.97, -296.167, 35883.2, -0.214003, -1.37994, 0.0
0.207105, 777.623, -189.882, 24018.1, -0.226533, -1.46094, 0.0
0.141972, 843.576, -52.3933, 13125.9, -0.239575, -1.54523, 0.0
0.11826, 866.29, -3.39973, 10213.3, -0.253149, -1.63297, 0.0
0.116201, 867.926, -0.0795949, 10005.6, -0.267277, -1.7243, 0.0
0.116145, 867.971, -0.00101798, 10000.1, -0.281982, -1.81934, 0.0
0.116144, 867.972, -1.41267e-06, 10000, -0.297287, -1.91827, 0.0
0.116144, 867.972, -8.08098e-08, 10000, -0.313216, -2.02123, 0.0
0.116144, 867.972, -2.49145e-08, 10000, -0.329795, -2.1284, 0.0
0.116144, 867.972, -1.66368e-09, 10000, -0.347052, -2.23994, 0.0
0.116144, 867.972, -7.15751e-11, 10000, -0.365012, -2.35603, 0.0
0.116144, 867.972, -2.45379e-12, 10000, -0.383705, -2.47686, 0.0
0.116144, 867.972, -7.01865e-14, 10000, -0.403161, -2.60262, 0.0
0.116144, 867.972, -5.28652e-15, 10000, -0.423412, -2.73351, 0.0
0.116144, 867.972, 1.61945e-14, 10000, -0.444488, -2.86974, 0.0
0.116144, 867.972, -1.35129e-14, 10000, -0.466425, -3.01154, 0.0
0.116144, 867.972, 6.49696e-14, 10000, -0.489257, -3.15912, 0.0
0.116144, 867.972, 2.31889e-14, 10000, -0.513021, -3.31272, 0.0
0.116144, 867.972, -1.31263e-14, 10000, -0.537755, -3.47259, 0.0
0.116144, 867.972, 1.40291e-14, 10000, -0.563498, -3.63899, 0.0
0.123118, 728.505, -233.862, 23650, -0.220619, -1.00745, 0.0
0.1688, 679.365, -264.291, 28668.9, -0.234471, -1.07086, 0.0
0.207436, 662.18, -294.475, 33670.3, -0.248888, -1.13686, 0.0
0.248481, 656.73, -322.023, 38797.2, -0.263894, -1.20554, 0.0
0.281307, 665.603, -336.482, 42164, -0.279512, -1.27704, 0.0
0.274156, 698.159, -302.381, 37817.8, -0.295767, -1.35144, 0.0
0.204074, 773.409, -177.524, 23299.6, -0.312686, -1.42889, 0.0
0.135757, 849.43, -35.2829, 12186.1, -0.330295, -1.5095, 0.0
0.116888, 867.517, -0.818397, 10069.1, -0.348623, -1.59339, 0.0
0.116151, 867.968, -0.00475619, 10000.6, -0.367698, -1.68071, 0.0
0.116144, 867.972, -1.33706e-05, 10000, -0.387553, -1.77159, 0.0
